UserId,total,mean,median,avg_1week_rev,total_1week_rev
3233024,20.0,20.0,20.0,20.0,20.0
3233683,299.15,149.57,149.57,175.16,175.16
3233801,35.63,35.63,35.63,35.63,35.63
3233813,113.86,37.95,32.11,37.95333333333333,113.86
3233885,55.42,27.71,27.71,27.71,55.42
3233938,67.64,22.55,20.19,29.19,29.19
3234000,770.0,85.56,60.0,40.0,200.0
3234072,170.53,170.53,170.53,170.53,170.53
3234076,11.68,11.68,11.68,11.68,11.68
3234098,253.24,253.24,253.24,253.24,253.24
3234101,35.03,17.52,17.52,0.0,0.0
3234109,682.13,682.13,682.13,682.13,682.13
3234144,259.14,25.91,22.27,29.69333333333333,89.08
3234215,42.68,21.34,21.34,21.32,21.32
3234231,17.05,17.05,17.05,17.05,17.05
3234270,200.0,200.0,200.0,200.0,200.0
3234279,68.21,68.21,68.21,68.21,68.21
3234313,4320.0,1440.0,1500.0,1440.0,4320.0
3234382,177.85,35.57,35.63,38.6,115.80000000000001
3234417,40.0,40.0,40.0,40.0,40.0
3234455,1540.0,77.0,40.0,108.0,540.0
3234485,85.27,85.27,85.27,85.27,85.27
3234494,3179.37,211.96,171.63,468.96,468.96
3234504,40.08,40.08,40.08,40.08,40.08
3234518,17.05,17.05,17.05,17.05,17.05
3234538,35.63,35.63,35.63,35.63,35.63
3234557,445.66,111.42,72.54,170.535,341.07
3234560,59.69,59.69,59.69,59.69,59.69
3234564,200.0,200.0,200.0,200.0,200.0
3234574,20.0,20.0,20.0,20.0,20.0
3234671,46.9,46.9,46.9,46.9,46.9
3234706,200.0,200.0,200.0,200.0,200.0
3234801,540.0,31.76,20.0,20.0,80.0
3234869,51.16,51.16,51.16,51.16,51.16
3234884,120.0,40.0,50.0,50.0,50.0
3234933,200.0,200.0,200.0,200.0,200.0
3234978,179.91,89.96,89.96,89.95500000000001,179.91000000000003
3234998,178.16,178.16,178.16,178.16,178.16
3235128,275.0,91.67,20.0,235.0,235.0
3235136,51.16,51.16,51.16,51.16,51.16
3235158,50.0,50.0,50.0,50.0,50.0
3235169,89.08,89.08,89.08,89.08,89.08
3235180,475.0,95.0,100.0,112.5,225.0
3235214,46.9,46.9,46.9,46.9,46.9
3235229,193.91,27.7,23.35,25.545,102.18
3235256,115.95,38.65,26.72,26.72,26.72
3235281,20.0,20.0,20.0,20.0,20.0
3235405,21.32,21.32,21.32,21.32,21.32
3235449,92.94,46.47,46.47,46.9,46.9
3235461,464.26,77.38,46.47,36.663333333333334,109.99
3235499,38.37,19.19,19.19,19.185000000000002,38.370000000000005
3235524,3456.35,493.76,445.41,261.30333333333334,783.91
3235538,25.0,25.0,25.0,25.0,25.0
3235559,3325.0,114.66,100.0,116.66666666666667,350.0
3235578,30.0,30.0,30.0,30.0,30.0
3235595,20.0,20.0,20.0,20.0,20.0
